exchange,name,owner
0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,IDEX_1,IDEX
0xa7a7899d944fe658c4b0a1803bab2f490bd3849e,IDEX_2,IDEX
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,Okex,Okex
0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,Okex_2,Okex
0xf73c3c65bde10bf26c2e1763104e609a41702efe,Bibox,Bibox
0xab5c66752a9e8167967685f1450532fb96d5d24f,Huobi_1,Huobi
0x6748f50f686bfbca6fe8ad62b22228b87f31ff2b,Huobi_2,Huobi
0xfdb16996831753d5331ff813c29a93c76834a0ad,Huobi_3,Huobi
0xeee28d484628d41a82d01e21d12e2e78d69920da,Huobi_4,Huobi
0x5c985e89dde482efe97ea9f1950ad149eb73829b,Huobi_5,Huobi
0xdc76cd25977e0a5ae17155770273ad58648900d3,Huobi_6,Huobi
0xadb2b42f6bd96f5c65920b9ac88619dce4166f94,Huobi_7,Huobi
0xa8660c8ffd6d578f657b72c0c811284aef0b735e,Huobi_8,Huobi
0x1062a747393198f70f71ec65a582423dba7e5ab3,Huobi_9,Huobi
0xe93381fb4c4f14bda253907b18fad305d799241a,Huobi_10,Huobi
0xfa4b5be3f2f84f56703c42eb22142744e95a2c58,Huobi_11,Huobi
0x46705dfff24256421a05d056c29e81bdc09723b8,Huobi_12,Huobi
0x99fe5d6383289cdd56e54fc0baf7f67c957a8888,Huobi_13,Huobi
0x1b93129f05cc2e840135aab154223c75097b69bf,Huobi_14,Huobi
0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,Huobi_15,Huobi
0x390de26d772d2e2005c6d1d24afc902bae37a4bb,Upbit,Upbit
0x390de26d772d2e2005c6d1d24afc902bae37a4bb,Upbit,Upbit
0xd24400ae8bfebb18ca49be86258a3c749cf46853,Gemini_1,Gemini
0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,Gemini_2,Gemini
0x056fd409e1d7a124bd7017459dfea2f387b6d5cd,GeminiDollar,Gemini
0x9c67e141c0472115aa1b98bd0088418be68fd249,HitBTC,HitBTC
0x59a5208b32e627891c389ebafc644145224006e8,HitBTC_2,HitBTC
0x2910543af39aba0cd09dbb2d50200b3e800a63d2,Kraken_1,Kraken
0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,Kraken_2,Kraken
0xe853c56864a2ebe4576a807d26fdc4a0ada51919,Kraken_3,Kraken
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,Kraken_4,Kraken
0xfa52274dd61e1643d2205169732f29114bc240b3,Kraken_5,Kraken
0xa2a8f158aed54ce9a73d41eeec23bf3a51b5654d,KrakenREP,Kraken
0x2b5634c42055806a59e9107ed44d43c426e58258,Kucoin,Kucoin
0x039b5649a59967e3e936d7471f9c3700100ee1ab,KucoinShares,Kucoin
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,Binance_1,Binance
0xd551234ae421e3bcba99a0da6d736074f22192ff,Binance_2,Binance
0x564286362092d8e7936f0549571a803b203aaced,Binance_3,Binance
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,Binance_4,Binance
0xfe9e8709d3215310075d67e3ed32a380ccf451c8,Binance_5,Binance
0x986ee2b944c42d017f52af21c4c69b84dbea35d8,BitMart,BitMart
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,Bittrex_1,Bittrex
0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,Bittrex_2,Bittrex
0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io_1,Gate.io
0x7793cd85c11a924478d358d49b05b37e91b5810f,Gate.io_2,Gate.io
0x1c4b70a3968436b9a0a9cf5205c787eb81bb558c,Gate.io_3,Gate.io
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,Bitfinex_1,Bitfinex
0x7727e5113d1d161373623e5f49fd568b4f543a9e,Bitfinex_2,Bitfinex
0x4fdd5eb2fb260149a3903859043e962ab89d8ed4,Bitfinex_3,Bitfinex
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,Bitfinex_4,Bitfinex
0x742d35cc6634c0532925a3b844bc454e4438f44e,Bitfinex_5,Bitfinex
0xcafb10ee663f465f9d10588ac44ed20ed608c11e,Bitfinex_Old1,Bitfinex
0x7180eb39a6264938fdb3effd7341c4727c382153,Bitfinex_Old2,Bitfinex
0xab11204cfeaccffa63c2d23aef2ea9accdb0a0d5,Poloniex,Poloniex
0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,Poloniex_2,Poloniex
0x0536806df512d6cdde913cf95c9886f65b1d3462,Poloniex-GNT,Poloniex
0x0536806df512d6cdde913cf95c9886f65b1d3462,Poloniex-GNT,Poloniex
0x32be343b94f860124dc4fee278fdcbd38c102d88,Poloniex ColdWallet,Poloniex
0xb794f5ea0ba39494ce839613fffba74279579268,Poloniex ColdWallet,Poloniex
0xb794f5ea0ba39494ce839613fffba74279579268,Poloniex ColdWallet,Poloniex
0x32be343b94f860124dc4fee278fdcbd38c102d88,Poloniex ColdWallet,Poloniex
0x94d6b4fb35fb08cb34aa716ab40049ec88002079,CryptonexToken,Cryptonex
0x469b9730e9585a5616778b8fc81a1bc68ba39f9d,Bitland,Bitland
0x689c56aef474df92d44a1b70850f808488f9769c,Kucoin,Kucoin
0x91a502c678605fbce581eae053319747482276b9,KyberNetwork,KyberNetwork
0xa232d931309317d2e519e7cbe01dfb9fee677e64,Tokenomy,Tokenomy
0x72bcfa6932feacd91cb2ea44b0731ed8ae04d0d3,Cashierest,Cashierest
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,EtherDelta_2,EtherDelta
0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,CoinExchange.io,CoinExchange.io
0xd3476faf7dfbf061bafc98c9ec1032da0ef966a4,FatBTC,FatBTC
0xf20b9e713a33f61fa38792d2afaf1cd30339126a,BancorNetwork,BancorNetwork
0x0861fca546225fbf8806986d211c8398f7457734,Latoken,Latoken
0x8d451ae5ee8f557a9ce7a9d7be8a8cb40002d5cb,Poloniex_KNC,Poloniex
0x31a2feb9b5d3b5f4e76c71d6c92fc46ebb3cb1c1,Poloniex_CVC,Poloniex
0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,Coinbene,Coinbene
0xe269e891a2ec8585a378882ffa531141205e92e9,DDEX fee recipient address,DDEX
0xe79eef9b9388a4ff70ed7ec5bccd5b928ebb8bd1,BitMart,BitMart
0x4641f8d2deb40769a9c28d0e0e6f63c3e4720ac2,UserWallet,UserWallet
0xe03c23519e18d64f144d2800e30e81b0065c48b5,Mercatox,Mercatox
0x0d6b5a54f940bf3d52e438cab785981aaefdf40c,Coss.io,Coss.io
0x9a2d163ab40f88c625fd475e807bbc3556566f80,Dex,Dex
0xbd2ec7c608a06fe975dbdca729e84dedb34ecc21,Poloniex_LOOM,Poloniex
0x274f3c32c90517975e29dfc209a23f315c1e5fc7,Hotbit,Hotbit
0xd4dcd2459bb78d7a645aa7e196857d421b10d93f,BigONE_1,BigONE
0xa30d8157911ef23c46c0eb71889efe6a648a41f7,BigONE_2,BigONE
0x2fa2bc2ce6a4f92952921a4caa46b3727d24a1ec,Poloniex_BNT,Poloniex
0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,Bancor,Bancor
0xff6b1cdfd2d3e37977d7938aa06b6d89d6675e27,AllBit,AllBit
0xe3031c1bfaa7825813c562cbdcc69d96fcad2087,Gopax,Gopax
0x4aa42145aa6ebf72e164c9bbc74fbd3788045016,EternalStorageProxy,EternalStorageProxy
0x14fbca95be7e99c15cc2996c6c9d841e54b79425,OasisDex,OasisDex
0xb9ee1e551f538a464e8f8c41e9904498505b49b0,Coinex,Coinex
0x3c02290922a3618a4646e3bbca65853ea45fe7c6,indodax,indodax
0x69076e44a9c70a67d5b79d95795aba299083c275,GemPit,GemPit
0xd2045edc40199019e221d71c0913343f7908d0d5,Paradex fee recipient,Paradex
0x6f803466bcd17f44fa18975bf7c509ba64bf3825,Poloniex_USDC,Poloniex
0x7b74c19124a9ca92c6141a2ed5f92130fc2791f2,DEW,DEW
0xde5a57b9ba909c332cb7be7133ec29e228fb0286,MultiSigWallet,MultiSigWallet
0x4e9ce36e442e55ecd9025b9a6e0d88485d628a67,Binance_Cold,Binance
